Gene.names	RBC	Plasma	Matrisome.1	Matrisome.2	Matrisome.3	Plasma.1	Subcellular.location..CC.
MT-CO3	NA	NA	NA	NA	NA	mito	Mitochondrion inner membrane
MAFIP	NA	NA	NA	NA	NA	NA	Cell projection
DDX3Y	NA	NA	NA	NA	NA	NA	Cytoplasm
ZFY	NA	NA	NA	NA	NA	NA	Nucleus
KDM5D	NA	NA	NA	NA	NA	NA	Nucleus
TBL1Y	NA	NA	NA	NA	NA	NA	Nucleus
TMSB4Y	NA	NA	NA	NA	NA	NA	Cytoplasm
SRY	NA	NA	NA	NA	NA	NA	Nucleus speckle
DAZ4	NA	NA	NA	NA	NA	NA	Cytoplasm
DAZ3	NA	NA	NA	NA	NA	NA	Cytoplasm
DAZ1	NA	NA	NA	NA	NA	NA	Cytoplasm
DAZ2	NA	NA	NA	NA	NA	NA	Cytoplasm
UTY	NA	NA	NA	NA	NA	NA	Nucleus
GPR33	NA	NA	NA	NA	NA	NA	Cell membrane
YBEY	NA	NA	NA	NA	NA	NA	NA
NUFIP1	NA	NA	NA	NA	NA	NA	Nucleus
TCL1B	NA	NA	NA	NA	NA	NA	NA
HAO1	NA	NA	NA	NA	NA	NA	Peroxisome
TOGARAM1	NA	NA	NA	NA	NA	NA	Cell projection
SUMO3	NA	NA	NA	NA	NA	NA	Cytoplasm
NCAM2	NA	NA	NA	NA	NA	NA	Cell membrane
SIK1B	NA	NA	NA	NA	NA	NA	Cytoplasm Nucleus Note=Following ACTH (adrenocorticotropic hormone) treatment and subsequent phosphorylation by PKA
SIK1	NA	NA	NA	NA	NA	NA	Cytoplasm Nucleus Note=Following ACTH (adrenocorticotropic hormone) treatment and subsequent phosphorylation by PKA
CPLX4	NA	NA	NA	NA	NA	NA	Cell junction
IPO5	RBC	NA	NA	NA	NA	NA	Cytoplasm
APTX	NA	NA	NA	NA	NA	NA	Nucleus
GID8	NA	NA	NA	NA	NA	NA	Cytoplasm
CBR1	RBC	NA	NA	NA	NA	enzyme	Cytoplasm
ANKRD9	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle
BTG3	NA	NA	NA	NA	NA	NA	NA
EVC	NA	NA	NA	NA	NA	NA	Cell membrane
SLC25A52	NA	NA	NA	NA	NA	NA	Mitochondrion inner membrane
IFT27	NA	NA	NA	NA	NA	NA	Cell projection
TMX1	NA	NA	NA	NA	NA	NA	Membrane
QDPR	RBC	NA	NA	NA	NA	NA	NA
PSTPIP2	NA	NA	NA	NA	NA	NA	Cytoplasm Membrane
TWSG1	NA	NA	NA	NA	NA	NA	Secreted
TXNL1	RBC	NA	NA	NA	NA	NA	Cytoplasm
IMPA2	NA	NA	NA	NA	NA	NA	NA
BPIFA1	NA	NA	NA	NA	NA	NA	Secreted
NETO1	NA	NA	NA	NA	NA	NA	Membrane
SKA1	NA	NA	NA	NA	NA	NA	Cytoplasm
S100G	NA	NA	Matrisome-associated	Secreted Factors	Signalling	NA	NA
EFHC2	NA	NA	NA	NA	NA	NA	NA
XPNPEP3	NA	NA	NA	NA	Protease	NA	Mitochondrion
ZDHHC15	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
PRR5	NA	NA	NA	NA	NA	NA	NA
TUBAL3	NA	NA	NA	NA	NA	NA	Cytoplasm
EDA2R	NA	NA	NA	NA	NA	NA	Membrane
NELFCD	NA	NA	NA	NA	NA	NA	Nucleus
TMX4	NA	NA	NA	NA	NA	NA	Nucleus inner membrane
CUBN	NA	NA	NA	NA	NA	NA	Apical cell membrane
BMP7	NA	NA	Matrisome-associated	Secreted Factors	Signalling	signalling	Secreted
PSMG1	NA	NA	NA	NA	NA	NA	Cytoplasm
OLFM4	NA	NA	NA	NA	NA	NA	Secreted
SETD4	NA	NA	NA	NA	NA	NA	Cytoplasm
SHLD1	NA	NA	NA	NA	NA	NA	Chromosome
PTPN21	NA	NA	NA	NA	NA	NA	Cytoplasm
PIK3IP1	NA	NA	Matrisome-associated	Secreted Factors	Signalling	NA	Cell membrane
SRSF5	NA	NA	NA	NA	NA	NA	Nucleus
TRMT5	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
NDRG3	NA	NA	NA	NA	NA	NA	NA
REM1	NA	NA	NA	NA	NA	NA	NA
DNAJC28	NA	NA	NA	NA	NA	NA	NA
CFAP410	NA	NA	NA	NA	NA	NA	Cell projection
TM9SF2	NA	NA	NA	NA	NA	NA	Endosome membrane
SLC17A9	NA	NA	NA	NA	NA	NA	Membrane
B4GALT5	NA	NA	NA	NA	NA	saccharide metabolism	Golgi apparatus
CCDC117	NA	NA	NA	NA	NA	NA	NA
ELMO2	NA	NA	NA	NA	NA	NA	Cytoplasm
MPPED1	NA	NA	NA	NA	NA	NA	NA
GAREM1	NA	NA	NA	NA	NA	NA	NA
NDUFV3	NA	NA	NA	NA	NA	NA	Mitochondrion inner membrane
SMU1	NA	NA	NA	NA	NA	NA	Cytoplasm
UBASH3A	NA	NA	NA	NA	NA	NA	Cytoplasm
CST3	NA	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	NA	Secreted
SYAP1	RBC	NA	NA	NA	NA	NA	Cytoplasm
BRS3	NA	NA	NA	NA	NA	NA	Cell membrane
SHROOM2	NA	NA	NA	NA	NA	NA	Apical cell membrane
MYO5B	NA	NA	NA	NA	NA	NA	Cytoplasm
RPS21	RBC	NA	NA	NA	NA	NA	Cytoplasm
SEC23B	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle
CITED1	NA	NA	NA	NA	NA	NA	Nucleus
ACSS1	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
SOHLH2	NA	NA	NA	NA	NA	NA	Nucleus
CCDC169-SOHLH2	NA	NA	NA	NA	NA	NA	Nucleus
ITGB2	NA	NA	NA	NA	NA	NA	Cell membrane
TMEM30B	NA	NA	NA	NA	NA	NA	Cell membrane
DNAJC5	RBC	NA	NA	NA	NA	NA	Cytoplasm
